gen 1,gen 2,gen 3,gen 4,gen 5,gen 6,gen 7,gen 8,gen 9,gen 10,csp generation,discharge,charge,Demands
256.448222501904,256.448222501904,256.448222501904,256.448222501904,256.448222501904,256.448222501904,256.448222501904,256.448222501904,256.448222501904,256.448222501904,0,475.000000000003,0,3039.48222501905
233.113074177254,233.113074177254,233.113074177254,233.113074177254,233.113074177254,233.113074177254,233.113074177254,233.113074177254,233.113074177254,233.113074177254,0,475.000000000003,0,2806.13074177255
227.704373239811,227.704373239811,227.704373239811,227.704373239811,227.704373239811,227.704373239811,227.704373239811,227.704373239811,227.704373239811,227.704373239811,0,389.927922238955,0,2666.97165463707
224.058550454158,224.058550454158,224.058550454158,224.058550454158,224.058550454158,224.058550454158,224.058550454158,224.058550454158,224.058550454158,224.058550454158,0,0,0,2240.58550454158
188.543138871735,188.543138871735,188.543138871735,188.543138871735,188.543138871735,188.543138871735,188.543138871735,188.543138871735,188.543138871735,188.543138871735,0,0,0,1885.43138871735
157.480443539466,157.480443539466,157.480443539466,157.480443539466,157.480443539466,157.480443539466,157.480443539466,157.480443539466,157.480443539466,157.480443539466,0,0,94.3928964973541,1480.4115388973
144.321000813101,144.321000813101,144.321000813101,144.321000813101,144.321000813101,144.321000813101,144.321000813101,144.321000813101,144.321000813101,144.321000813101,0,0,475.000000000003,968.210008131008
127.146116153408,127.146116153408,127.146116153408,127.146116153408,127.146116153408,127.146116153408,127.146116153408,127.146116153408,127.146116153408,127.146116153408,0,0,475.000000000003,796.461161534081
118.641106076622,118.641106076622,118.641106076622,118.641106076622,118.641106076622,118.641106076622,118.641106076622,118.641106076622,118.641106076622,118.641106076622,0,0,475.000000000003,711.411060766214
117.486802555325,117.486802555325,117.486802555325,117.486802555325,117.486802555325,117.486802555325,117.486802555325,117.486802555325,117.486802555325,117.486802555325,0,0,475.000000000003,699.868025553244
135.245358312994,135.245358312994,135.245358312994,135.245358312994,135.245358312994,135.245358312994,135.245358312994,135.245358312994,135.245358312994,135.245358312994,0,0,475.000000000003,877.453583129936
158.102679177504,158.102679177504,158.102679177504,158.102679177504,158.102679177504,158.102679177504,158.102679177504,158.102679177504,158.102679177504,158.102679177504,0,0,35.2179901546205,1545.80880162042
254.158453801357,254.158453801357,254.158453801357,254.158453801357,254.158453801357,254.158453801357,254.158453801357,254.158453801357,254.158453801357,254.158453801357,0,475.000000000003,0,3016.58453801357
317.699332752793,317.699332752793,317.699332752793,317.699332752793,317.699332752793,317.699332752793,317.699332752793,317.699332752793,317.699332752793,317.699332752793,0,475.000000000003,0,3651.99332752793
226.28225695451,226.28225695451,226.28225695451,226.28225695451,226.28225695451,226.28225695451,226.28225695451,226.28225695451,226.28225695451,226.28225695451,0,40.4282794334942,0,2303.25084897859
172.742983171691,172.742983171691,172.742983171691,172.742983171691,172.742983171691,172.742983171691,172.742983171691,172.742983171691,172.742983171691,172.742983171691,0,0,0,1727.42983171691
168.594762906801,168.594762906801,168.594762906801,168.594762906801,168.594762906801,168.594762906801,168.594762906801,168.594762906801,168.594762906801,168.594762906801,0,0,100.002695360458,1585.94493370755
168.70498589834,168.70498589834,168.70498589834,168.70498589834,168.70498589834,168.70498589834,168.70498589834,168.70498589834,168.70498589834,168.70498589834,0,0,131.567426659501,1555.4824323239
